threshold,precision,recall,f1,specificity,fp,fn
0.1,0.6282722513089005,1.0,0.7717041800643086,0.4083333333333333,213,0
0.11,0.6304728546409807,1.0,0.7733619763694952,0.41388888888888886,211,0
0.12,0.6304728546409807,1.0,0.7733619763694952,0.41388888888888886,211,0
0.13,0.6338028169014085,1.0,0.7758620689655172,0.4222222222222222,208,0
0.14,0.6338028169014085,1.0,0.7758620689655172,0.4222222222222222,208,0
0.15,0.6360424028268551,1.0,0.7775377969762419,0.42777777777777776,206,0
0.16,0.6371681415929203,1.0,0.7783783783783784,0.4305555555555556,205,0
0.17,0.6417112299465241,1.0,0.7817589576547231,0.44166666666666665,201,0
0.18,0.6428571428571429,1.0,0.782608695652174,0.4444444444444444,200,0
0.19,0.6474820143884892,1.0,0.7860262008733624,0.45555555555555555,196,0
0.2,0.650994575045208,1.0,0.7886089813800657,0.4638888888888889,193,0
0.21,0.6521739130434783,1.0,0.7894736842105263,0.4666666666666667,192,0
0.22,0.6545454545454545,1.0,0.7912087912087912,0.4722222222222222,190,0
0.23,0.656934306569343,1.0,0.7929515418502202,0.4777777777777778,188,0
0.24,0.6581352833638026,1.0,0.7938257993384785,0.48055555555555557,187,0
0.25,0.6581352833638026,1.0,0.7938257993384785,0.48055555555555557,187,0
0.26,0.6629834254143646,1.0,0.7973421926910299,0.49166666666666664,183,0
0.27,0.6642066420664207,1.0,0.7982261640798226,0.49444444444444446,182,0
0.28,0.6666666666666666,1.0,0.8,0.5,180,0
0.29,0.6691449814126395,1.0,0.8017817371937639,0.5055555555555555,178,0
0.3,0.6716417910447762,1.0,0.8035714285714286,0.5111111111111111,176,0
0.31,0.6741573033707865,1.0,0.8053691275167785,0.5166666666666667,174,0
0.32,0.6741573033707865,1.0,0.8053691275167785,0.5166666666666667,174,0
0.33,0.6741573033707865,1.0,0.8053691275167785,0.5166666666666667,174,0
0.34,0.6754221388367729,1.0,0.8062709966405375,0.5194444444444445,173,0
0.35,0.6754221388367729,1.0,0.8062709966405375,0.5194444444444445,173,0
0.36,0.6766917293233082,1.0,0.8071748878923767,0.5222222222222223,172,0
0.37,0.6792452830188679,1.0,0.8089887640449438,0.5277777777777778,170,0
0.38,0.6818181818181818,1.0,0.8108108108108109,0.5333333333333333,168,0
0.39,0.683111954459203,1.0,0.8117249154453213,0.5361111111111111,167,0
0.4,0.6870229007633588,1.0,0.8144796380090498,0.5444444444444444,164,0
0.41,0.6896551724137931,1.0,0.8163265306122449,0.55,162,0
0.42,0.6896551724137931,1.0,0.8163265306122449,0.55,162,0
0.43,0.690978886756238,1.0,0.8172531214528944,0.5527777777777778,161,0
0.44,0.693050193050193,0.9972222222222222,0.8177676537585421,0.5583333333333333,159,1
0.45,0.6937984496124031,0.9944444444444445,0.817351598173516,0.5611111111111111,158,2
0.46,0.6964980544747081,0.9944444444444445,0.8192219679633868,0.5666666666666667,156,2
0.47,0.6978557504873294,0.9944444444444445,0.8201603665521191,0.5694444444444444,155,2
0.48,0.7019607843137254,0.9944444444444445,0.8229885057471265,0.5777777777777777,152,2
0.49,0.7075098814229249,0.9944444444444445,0.8267898383371824,0.5888888888888889,148,2
0.5,0.7075098814229249,0.9944444444444445,0.8267898383371824,0.5888888888888889,148,2
0.51,0.7065868263473054,0.9833333333333333,0.8222996515679443,0.5916666666666667,147,6
0.52,0.710261569416499,0.9805555555555555,0.823803967327888,0.6,144,7
0.53,0.7116935483870968,0.9805555555555555,0.8247663551401869,0.6027777777777777,143,7
0.54,0.716024340770791,0.9805555555555555,0.8276670574443142,0.6111111111111112,140,7
0.55,0.717479674796748,0.9805555555555555,0.8286384976525821,0.6138888888888889,139,7
0.56,0.7163265306122449,0.975,0.8258823529411765,0.6138888888888889,139,9
0.57,0.7157464212678937,0.9722222222222222,0.8244994110718492,0.6138888888888889,139,10
0.58,0.7186858316221766,0.9722222222222222,0.8264462809917356,0.6194444444444445,137,10
0.59,0.7169421487603306,0.9638888888888889,0.8222748815165877,0.6194444444444445,137,13
0.6,0.7178423236514523,0.9611111111111111,0.8218527315914489,0.6222222222222222,136,14
0.61,0.7202505219206681,0.9583333333333334,0.8224076281287247,0.6277777777777778,134,15
0.62,0.7232704402515723,0.9583333333333334,0.8243727598566308,0.6333333333333333,132,15
0.63,0.7257383966244726,0.9555555555555556,0.8249400479616307,0.6388888888888888,130,16
0.64,0.7261146496815286,0.95,0.8231046931407943,0.6416666666666667,129,18
0.65,0.725531914893617,0.9472222222222222,0.8216867469879519,0.6416666666666667,129,19
0.66,0.725531914893617,0.9472222222222222,0.8216867469879519,0.6416666666666667,129,19
0.67,0.7259100642398287,0.9416666666666667,0.8198307134220073,0.6444444444444445,128,21
0.68,0.7241379310344828,0.9333333333333333,0.8155339805825242,0.6444444444444445,128,24
0.69,0.7266811279826464,0.9305555555555556,0.8160779537149817,0.65,126,25
0.7,0.7276688453159041,0.9277777777777778,0.8156288156288156,0.6527777777777778,125,26
0.71,0.7264770240700219,0.9222222222222223,0.8127294981640147,0.6527777777777778,125,28
0.72,0.7258771929824561,0.9194444444444444,0.8112745098039216,0.6527777777777778,125,29
0.73,0.7262693156732892,0.9138888888888889,0.8093480934809348,0.6555555555555556,124,31
0.74,0.7238307349665924,0.9027777777777778,0.8034610630407911,0.6555555555555556,124,35
0.75,0.7232142857142857,0.9,0.801980198019802,0.6555555555555556,124,36
0.76,0.7239819004524887,0.8888888888888888,0.7980049875311721,0.6611111111111111,122,40
0.77,0.7220956719817767,0.8805555555555555,0.7934918648310388,0.6611111111111111,122,43
0.78,0.7208237986270023,0.875,0.7904642409033877,0.6611111111111111,122,45
0.79,0.7195402298850575,0.8694444444444445,0.7874213836477988,0.6611111111111111,122,47
0.8,0.7205542725173211,0.8666666666666667,0.7868852459016393,0.6638888888888889,121,48
0.81,0.7172897196261683,0.8527777777777777,0.7791878172588832,0.6638888888888889,121,53
0.82,0.715962441314554,0.8472222222222222,0.7760814249363868,0.6638888888888889,121,55
0.83,0.7156398104265402,0.8388888888888889,0.7723785166240409,0.6666666666666666,120,58
0.84,0.7129186602870813,0.8277777777777777,0.7660668380462725,0.6666666666666666,120,62
0.85,0.7108433734939759,0.8194444444444444,0.7612903225806451,0.6666666666666666,120,65
0.86,0.7108433734939759,0.8194444444444444,0.7612903225806451,0.6666666666666666,120,65
0.87,0.708029197080292,0.8083333333333333,0.754863813229572,0.6666666666666666,120,69
0.88,0.7073170731707317,0.8055555555555556,0.7532467532467533,0.6666666666666666,120,70
0.89,0.706601466992665,0.8027777777777778,0.7516254876462939,0.6666666666666666,120,71
0.9,0.7051597051597052,0.7972222222222223,0.7483702737940026,0.6666666666666666,120,73
0.91,0.7037037037037037,0.7916666666666666,0.7450980392156863,0.6666666666666666,120,75
0.92,0.7022332506203474,0.7861111111111111,0.7418086500655308,0.6666666666666666,120,77
0.93,0.7014925373134329,0.7833333333333333,0.7401574803149606,0.6666666666666666,120,78
0.94,0.6992481203007519,0.775,0.7351778656126482,0.6666666666666666,120,81
0.95,0.6923076923076923,0.75,0.72,0.6666666666666666,120,90
0.96,0.6816976127320955,0.7138888888888889,0.6974219810040706,0.6666666666666666,120,103
0.97,0.6721311475409836,0.6833333333333333,0.6776859504132231,0.6666666666666666,120,114
0.98,0.6657381615598886,0.6638888888888889,0.6648122392211405,0.6666666666666666,120,121
0.99,0.6307692307692307,0.5694444444444444,0.5985401459854015,0.6666666666666666,120,155
